radicado,magistrado,tipo
25000234100020130218302,RDOBA ACOSTA CARLOS FERNANDO MANTILLA NAVARRO PRESIDENTE,ACLARACION
25000234100020150276306,CARLOS FERNANDO MANTILLA NAVARRO PRESIDENTE ACLARA VOTO,SALVAMENTO
25000234100020150276306,ERMAN EDUARDO OSORIO CIFUENTES NUBIA MARGOTH PENA GARZON,ACLARACION
25000234100020150276306,GERMAN EDUARDO OSORIO CIFUENTES,ACLARACION
25000234100020150276306,RDOBA ACOSTA CARLOS FERNANDO MANTILLA NAVARRO PRESIDENTE,ACLARACION
25000234100020160070003,CARLOS FERNANDO MANTILLA NAVARRO PRESIDENTE ACLARA VOTO,SALVAMENTO
25000234100020160070003,RDOBA ACOSTA CARLOS FERNANDO MANTILLA NAVARRO PRESIDENTE,ACLARACION
25000234100020210019201,CARLOS FERNANDO MANTILLA NAVARRO PRESIDENTE ACLARA VOTO,SALVAMENTO
25000234100020210019201,ERMAN EDUARDO OSORIO CIFUENTES NUBIA MARGOTH PENA GARZON,ACLARACION
25000234100020210019201,GERMAN EDUARDO OSORIO CIFUENTES,ACLARACION
25000234100020210019201,RDOBA ACOSTA CARLOS FERNANDO MANTILLA NAVARRO PRESIDENTE,ACLARACION
25000234100020230023304,GLORIA MARIA GOMEZ MONTOYA PEDRO PABLO VANEGAS GIL,SALVAMENTO
25000234200020170271102,SUBSECCION B,SALVAMENTO
25000234200020190001601,SUBSECCION B,ACLARACION
27001233300020250009401,ADO SALA DE LO CONTENCIOSO ADMINISTRATIVO SECCION QUINTA,SALVAMENTO
27001233300020250009401,GAS GIL PRESIDENTE LUIS ALBERTO ALVAREZ PARRA MAGISTRADO,SALVAMENTO
27001233300020250009401,GLORIA MARIA GOMEZ MONTOYA,SALVAMENTO
27001233300020250009401,SUAREZ MAGISTRADO GLORIA MARIA GOMEZ MONTOYA MAGISTRADA,SALVAMENTO
47001233300020190055201,GE EDISON PORTOCARRERO BANGUERA FIRMADO ELECTRONICAMENTE,ACLARACION
47001233300020190055201,ORNEJO FIRMADO ELECTRONICAMENTE FIRMADO ELECTRONICAMENTE,ACLARACION
47001233300020190055201,SUBSECCION B,ACLARACION
47001233300020210043402,FIRMADO ELECTRONICAMENTE ZORANNY CASTILLO OTALORA,SALVAMENTO
50001233300020180023201,GE EDISON PORTOCARRERO BANGUERA FIRMADO ELECTRONICAMENTE,ACLARACION
50001233300020190025701,GOTH PENA GARZON CONSEJERO DE ESTADO CONSEJERA DE ESTADO,ACLARACION
52001233300020260009401,LUIS ALBERTO ALVAREZ PARRA,ACLARACION
52001233300020260009401,OMAR JOAQUIN BARRETO SUAREZ,SALVAMENTO
68001233300020130099801,GERMAN EDUARDO OSORIO CIFUENTES,ACLARACION
